,genero,plataforma
809,tv shows,amazon
810,drama,amazon
811,action,amazon
812, comedy,amazon
813,special interest,amazon
814, unscripted,amazon
815,documentary,amazon
816,documentary,amazon
817, special interest,amazon
818,documentary,amazon
819, international,amazon
820, special interest,amazon
821,drama,amazon
822, horror,amazon
823, suspense,amazon
824,horror,amazon
825, suspense,amazon
826,horror,amazon
827, suspense,amazon
828,drama,amazon
829,documentary,amazon
830, special interest,amazon
831,drama,amazon
832, suspense,amazon
833,kids,amazon
834,drama,amazon
835,documentary,amazon
836,documentary,amazon
837,documentary,amazon
838, special interest,amazon
839,comedy,amazon
840,kids,amazon
841,comedy,amazon
842, drama,amazon
843, romance,amazon
844,drama,amazon
845, science fiction,amazon
846, suspense,amazon
847,comedy,amazon
848,drama,amazon
849, horror,amazon
850, suspense,amazon
851,drama,amazon
852, romance,amazon
853,kids,amazon
854,action,amazon
855, drama,amazon
856,animation,amazon
857, kids,amazon
858,action,amazon
859, fantasy,amazon
860,tv shows,amazon
861,comedy,amazon
862, drama,amazon
863, romance,amazon
864,arts,amazon
865, entertainment,amazon
866, and culture,amazon
867, comedy,amazon
868, special interest,amazon
869,documentary,amazon
870, special interest,amazon
871,documentary,amazon
872,action,amazon
873, drama,amazon
874, international,amazon
875,suspense,amazon
876,drama,amazon
877, suspense,amazon
878,documentary,amazon
879, special interest,amazon
880,drama,amazon
881,comedy,amazon
882, science fiction,amazon
883,drama,amazon
884, romance,amazon
885,documentary,amazon
886,horror,amazon
887,comedy,amazon
888,tv shows,amazon
889,music videos and concerts,amazon
890,comedy,amazon
891, drama,amazon
892,drama,amazon
893,documentary,amazon
894,special interest,amazon
895,action,amazon
896, drama,amazon
897, horror,amazon
898,comedy,amazon
899, kids,amazon
900,international,amazon
901, music videos and concerts,amazon
902, unscripted,amazon
903,documentary,amazon
904, sports,amazon
905,action,amazon
906, kids,amazon
907,action,amazon
908, drama,amazon
909, romance,amazon
910,music videos and concerts,amazon
911,action,amazon
912, drama,amazon
913, suspense,amazon
914,documentary,amazon
915, faith and spirituality,amazon
916, special interest,amazon
917,drama,amazon
918, sports,amazon
919,documentary,amazon
920,action,amazon
921, drama,amazon
922,kids,amazon
923, special interest,amazon
924,music videos and concerts,amazon
925,documentary,amazon
926, drama,amazon
927, special interest,amazon
928,action,amazon
929, suspense,amazon
930,kids,amazon
931,animation,amazon
932, comedy,amazon
933, science fiction,amazon
934,horror,amazon
935,documentary,amazon
936, special interest,amazon
937,drama,amazon
938,comedy,amazon
939,documentary,amazon
940, international,amazon
941, special interest,amazon
942,tv shows,amazon
943,comedy,amazon
944,drama,amazon
945,drama,amazon
946, romance,amazon
947,documentary,amazon
948, special interest,amazon
949,adventure,amazon
950, drama,amazon
951,music videos and concerts,amazon
952,comedy,amazon
953,comedy,amazon
954, western,amazon
955,action,amazon
956, western,amazon
957,comedy,amazon
958,animation,amazon
959, kids,amazon
960,music videos and concerts,amazon
961,comedy,amazon
962,comedy,amazon
963, drama,amazon
964,comedy,amazon
965, science fiction,amazon
966,documentary,amazon
967, special interest,amazon
968,animation,amazon
969, kids,amazon
970, special interest,amazon
971,drama,amazon
972, military and war,amazon
973,action,amazon
974, drama,amazon
975, suspense,amazon
976,comedy,amazon
977,action,amazon
978, suspense,amazon
979,animation,amazon
980, kids,amazon
981,comedy,amazon
982,drama,amazon
983, unscripted,amazon
984, young adult audience,amazon
985,documentary,amazon
986,comedy,amazon
987,action,amazon
988, adventure,amazon
989,drama,amazon
990, suspense,amazon
991,drama,amazon
992, suspense,amazon
993,documentary,amazon
994, special interest,amazon
995,tv shows,amazon
996,comedy,amazon
997, drama,amazon
998, romance,amazon
999,documentary,amazon
1000, special interest,amazon
1001,documentary,amazon
1002,action,amazon
1003, drama,amazon
1004,tv shows,amazon
1005,drama,amazon
1006, kids,amazon
1007,documentary,amazon
1008, horror,amazon
1009,drama,amazon
1010, suspense,amazon
1011,action,amazon
1012, comedy,amazon
1013, horror,amazon
1014,documentary,amazon
1015,horror,amazon
1016, suspense,amazon
1017,action,amazon
1018, animation,amazon
1019, kids,amazon
1020,comedy,amazon
1021, suspense,amazon
1022,tv shows,amazon
1023,animation,amazon
1024, drama,amazon
1025, faith and spirituality,amazon
1026,kids,amazon
1027,drama,amazon
1028, historical,amazon
1029,special interest,amazon
1030,documentary,amazon
1031, special interest,amazon
1032,documentary,amazon
1033, special interest,amazon
1034,comedy,amazon
1035, drama,amazon
1036,action,amazon
1037,drama,amazon
1038, science fiction,amazon
1039,comedy,amazon
1040, documentary,amazon
1041, special interest,amazon
1042,action,amazon
1043, drama,amazon
1044, historical,amazon
1045,western,amazon
1046,western,amazon
1047,anime,amazon
1048,anime,amazon
1049, kids,amazon
1050,comedy,amazon
1051,comedy,amazon
1052,comedy,amazon
1053,documentary,amazon
1054, drama,amazon
1055, unscripted,amazon
1056,drama,amazon
1057, kids,amazon
1058,drama,amazon
1059,animation,amazon
1060, kids,amazon
1061,animation,amazon
1062, anime,amazon
1063, kids,amazon
1064,drama,amazon
1065, romance,amazon
1066,documentary,amazon
1067, special interest,amazon
1068,drama,amazon
1069, romance,amazon
1070, suspense,amazon
1071,music videos and concerts,amazon
1072,romance,amazon
1073, science fiction,amazon
1074,documentary,amazon
1075, sports,amazon
1076,horror,amazon
1077, suspense,amazon
1078,kids,amazon
1079,action,amazon
1080, western,amazon
1081,drama,amazon
1082, suspense,amazon
1083,drama,amazon
1084, historical,amazon
1085,documentary,amazon
1086,action,amazon
1087, science fiction,amazon
1088,drama,amazon
1089, historical,amazon
1090, military and war,amazon
1091,drama,amazon
1092,documentary,amazon
1093,drama,amazon
1094,drama,amazon
1095, faith and spirituality,amazon
1096, suspense,amazon
1097,drama,amazon
1098, military and war,amazon
1099,arthouse,amazon
1100, arts,amazon
1101, entertainment,amazon
1102, and culture,amazon
1103, drama,amazon
1104,documentary,amazon
1105,drama,amazon
1106, suspense,amazon
1107,comedy,amazon
1108,action,amazon
1109, adventure,amazon
1110, suspense,amazon
1111,drama,amazon
1112, romance,amazon
1113,documentary,amazon
1114, special interest,amazon
1115,action,amazon
1116, suspense,amazon
1117,action,amazon
1118, western,amazon
1119,action,amazon
1120, drama,amazon
1121,arts,amazon
1122, entertainment,amazon
1123, and culture,amazon
1124, comedy,amazon
1125,kids,amazon
1126,comedy,amazon
1127,action,amazon
1128, drama,amazon
1129, western,amazon
1130,comedy,amazon
1131,documentary,amazon
1132,drama,amazon
1133, suspense,amazon
1134,drama,amazon
1135,action,amazon
1136, drama,amazon
1137, suspense,amazon
1138,drama,amazon
1139,action,amazon
1140, comedy,amazon
1141,documentary,amazon
1142, special interest,amazon
1143, unscripted,amazon
1144,adventure,amazon
1145,arts,amazon
1146, entertainment,amazon
1147, and culture,amazon
1148, comedy,amazon
1149, special interest,amazon
1150,comedy,amazon
1151, drama,amazon
1152,action,amazon
1153, suspense,amazon
1154,comedy,amazon
1155, drama,amazon
1156,comedy,amazon
1157, young adult audience,amazon
1158,drama,amazon
1159, suspense,amazon
1160,documentary,amazon
1161, special interest,amazon
1162,tv shows,amazon
1163,documentary,amazon
1164, drama,amazon
1165, sports,amazon
1166,documentary,amazon
1167, special interest,amazon
1168,tv shows,amazon
1169,drama,amazon
1170, international,amazon
1171,special interest,amazon
1172,action,amazon
1173, special interest,amazon
1174,drama,amazon
1175,drama,amazon
1176, suspense,amazon
1177,comedy,amazon
1178,documentary,amazon
1179, special interest,amazon
1180,horror,amazon
1181,music videos and concerts,amazon
1182,science fiction,amazon
1183,drama,amazon
1184,documentary,amazon
1185,comedy,amazon
1186, drama,amazon
1187,action,amazon
1188, documentary,amazon
1189, unscripted,amazon
1190,horror,amazon
1191, suspense,amazon
1192,horror,amazon
1193, suspense,amazon
1194,action,amazon
1195, suspense,amazon
1196,documentary,amazon
1197, special interest,amazon
1198, sports,amazon
1199,documentary,amazon
1200,drama,amazon
1201,action,amazon
1202, drama,amazon
1203,drama,amazon
1204,unscripted,amazon
1205,documentary,amazon
1206,kids,amazon
1207, special interest,amazon
1208, unscripted,amazon
1209,comedy,amazon
1210, documentary,amazon
1211, sports,amazon
1212,drama,amazon
1213,documentary,amazon
1214,arts,amazon
1215, entertainment,amazon
1216, and culture,amazon
1217, documentary,amazon
1218, music videos and concerts,amazon
1219,tv shows,amazon
1220,documentary,amazon
1221,drama,amazon
1222, science fiction,amazon
1223,documentary,amazon
1224, drama,amazon
1225, unscripted,amazon
1226,horror,amazon
1227, unscripted,amazon
1228,documentary,amazon
1229, drama,amazon
1230,suspense,amazon
1231, western,amazon
1232,animation,amazon
1233, kids,amazon
1234,drama,amazon
1235,comedy,amazon
1236, drama,amazon
1237,tv shows,amazon
1238,action,amazon
1239, drama,amazon
1240, international,amazon
1241,documentary,amazon
1242, special interest,amazon
1243,arts,amazon
1244, entertainment,amazon
1245, and culture,amazon
1246, comedy,amazon
1247, romance,amazon
1248,comedy,amazon
1249,special interest,amazon
1250,documentary,amazon
1251, special interest,amazon
1252,documentary,amazon
1253, special interest,amazon
1254,tv shows,amazon
1255,tv shows,amazon
1256,action,amazon
1257, romance,amazon
1258, western,amazon
1259,documentary,amazon
1260,drama,amazon
1261,documentary,amazon
1262,suspense,amazon
1263,arthouse,amazon
1264, arts,amazon
1265, entertainment,amazon
1266, and culture,amazon
1267, comedy,amazon
1268,romance,amazon
1269, science fiction,amazon
1270,western,amazon
1271,drama,amazon
1272,drama,amazon
1273, suspense,amazon
1274,drama,amazon
1275,tv shows,amazon
1276,faith and spirituality,amazon
